rowLabel,gravity,mid_wrench,tip_wrench,seg1_s01,seg1_s02,seg1_s03,seg1_s04,seg1_s05,seg1_s06,seg1_s07,seg2_s01,seg2_s02,seg2_s03,seg2_s04,seg2_s05,seg2_s06,seg2_s07
Pz_s399,2.197,0.1156,-0.0628,0,-0.0001,-0.0014,-0.0068,-0.0169,-0.0267,-0.0296,-0.0296,-0.0327,-0.0452,-0.0648,-0.0855,-0.0997,-0.1033
EulX_s400,0,-0.0035,-0.0472,-0,-0.0001,-0.0017,-0.0061,-0.0091,-0.0078,-0.0068,-0.0068,-0.0103,-0.0227,-0.0359,-0.0417,-0.041,-0.0402
EulY_s400,0,0.0456,0.0292,0,-0.0054,-0.0248,-0.0461,-0.055,-0.0522,-0.0502,-0.0502,-0.0573,-0.0818,-0.1077,-0.1195,-0.1178,-0.116
EulZ_s400,0,-0.0388,0.0227,-0,-0.0302,-0.1392,-0.2744,-0.3838,-0.4454,-0.4597,-0.4597,-0.463,-0.4704,-0.4649,-0.441,-0.4149,-0.4071
Px_s400,7.2451,-0.2159,0.0055,0,0.0094,0.046,0.0986,0.1494,0.183,0.1914,0.1914,0.1998,0.2326,0.2804,0.3284,0.3616,0.3702
Py_s400,-5.6067,0.0641,-0.1994,0,-0.0001,-0.0033,-0.0145,-0.0319,-0.0468,-0.0509,-0.0509,-0.055,-0.0716,-0.0958,-0.1192,-0.1343,-0.138
Pz_s400,-3.5086,0.1981,0.2241,0,0,0.0006,0.0025,0.0053,0.0073,0.0077,0.0077,0.0082,0.0108,0.0161,0.0226,0.0272,0.0284
EulX_s401,0,-0.0387,-0.0016,-0,0.0001,0.0019,0.0077,0.0142,0.0169,0.0171,0.0171,0.0189,0.0256,0.0333,0.0383,0.0399,0.04
EulY_s401,0,0.0162,0.0052,0,-0.0206,-0.0914,-0.1675,-0.2112,-0.2229,-0.2236,-0.2236,-0.23,-0.2515,-0.2738,-0.286,-0.2893,-0.2895
EulZ_s401,0,0.0429,0.0598,-0,0.0087,0.0458,0.1112,0.192,0.2568,0.2747,0.2747,0.2797,0.3031,0.3496,0.4129,0.4673,0.4827
Px_s401,4.9494,-0.2173,0.0264,0,0.0094,0.0461,0.0993,0.1515,0.1865,0.1953,0.1953,0.2041,0.2383,0.2876,0.3356,0.3675,0.3755
Py_s401,8.0195,-0.1334,-0.2677,0,0,0.001,0.0051,0.0131,0.0211,0.0235,0.0235,0.0261,0.0364,0.0532,0.0727,0.0879,0.0921
Pz_s401,2.7252,0.158,0.1327,0,0.0001,0.0022,0.0093,0.0195,0.0274,0.0295,0.0295,0.0315,0.0402,0.054,0.0686,0.0786,0.0812
EulX_s402,0,-0.0258,-0.0258,-0,0.0008,0.0176,0.0706,0.1364,0.1763,0.1848,0.1848,0.1898,0.2045,0.2139,0.2125,0.2081,0.2068
EulY_s402,0,-0.0472,-0.0471,0,-0.0338,-0.1527,-0.2842,-0.3648,-0.3948,-0.3998,-0.3998,-0.4025,-0.4094,-0.4126,-0.4124,-0.4118,-0.4116
EulZ_s402,0,0.0265,0.0268,-0,0.0475,0.2376,0.5247,0.8062,0.9824,1.0241,1.0241,1.0523,1.1551,1.2829,1.3834,1.4366,1.4482
Px_s402,-4.3493,-0.1984,-0.2482,0,0.0094,0.0455,0.0941,0.134,0.1553,0.16,0.16,0.1644,0.1795,0.1964,0.2079,0.2133,0.2144
Py_s402,-2.5436,0.1686,0.0127,0,0.0002,0.0054,0.0248,0.0564,0.0834,0.0908,0.0908,0.0984,0.1294,0.1773,0.2273,0.2623,0.2714
Pz_s402,8.4173,-0.149,-0.1681,0,0.0002,0.0036,0.0155,0.0324,0.0454,0.0487,0.0487,0.052,0.0649,0.0826,0.0987,0.1085,0.1109
EulX_s403,0,-0.0544,0.0426,-0,0.0002,0.0038,0.0133,0.0231,0.0285,0.0296,0.0296,0.0298,0.0299,0.0278,0.024,0.0206,0.0196
EulY_s403,0,-0.0254,0.0342,0,-0.0286,-0.1275,-0.2382,-0.3137,-0.3481,-0.355,-0.355,-0.3565,-0.3565,-0.3417,-0.3123,-0.2855,-0.278
EulZ_s403,0,-0.0006,0.0248,-0,0.0134,0.0591,0.1084,0.1397,0.1521,0.1542,0.1542,0.1507,0.1378,0.1242,0.1206,0.1261,0.1287
Px_s403,-3.5205,0.1546,0.1984,0,0.0094,0.046,0.0987,0.15,0.1844,0.1931,0.1931,0.2018,0.2359,0.2861,0.3367,0.3715,0.3805
Py_s403,6.5499,0.2197,-0.1432,0,0.0001,0.0014,0.0059,0.0124,0.0174,0.0188,0.0188,0.0201,0.025,0.0315,0.0375,0.0418,0.0429
Pz_s403,6.3985,0.1335,0.1736,0,0.0001,0.0031,0.013,0.0278,0.0398,0.0431,0.0431,0.0463,0.0592,0.0777,0.0951,0.106,0.1086
EulX_s404,0,-0.0225,-0.0418,-0,-0,-0.0005,-0.0015,-0.002,-0.002,-0.0019,-0.0019,-0.0018,-0.0021,-0.0044,-0.0076,-0.0097,-0.0101
EulY_s404,0,0.0376,-0.0424,0,-0.0152,-0.0691,-0.1318,-0.1745,-0.1921,-0.1951,-0.1951,-0.208,-0.2588,-0.3335,-0.4068,-0.4551,-0.4671
EulZ_s404,0,0.0409,-0.0069,-0,-0.0037,-0.0135,-0.0155,-0.0046,0.0093,0.0136,0.0136,0.0062,-0.0175,-0.0376,-0.0413,-0.0346,-0.0317
Px_s404,8.842,0.1368,0.2078,0,0.0094,0.0461,0.0997,0.1529,0.189,0.1982,0.1982,0.2074,0.2432,0.2946,0.3448,0.3782,0.3866
Py_s404,-1.5416,0.0778,-0.1424,0,-0,-0.0004,-0.0012,-0.0018,-0.0017,-0.0016,-0.0016,-0.0015,-0.0017,-0.0032,-0.0053,-0.0066,-0.0068
Pz_s404,-3.9597,0.2554,0.1629,0,0.0001,0.0016,0.0071,0.0154,0.0222,0.024,0.024,0.0259,0.0344,0.0501,0.0696,0.0849,0.0891
EulX_s405,0,-0.0187,0.0254,-0,-0.0001,-0.002,-0.0097,-0.0234,-0.0365,-0.0404,-0.0404,-0.043,-0.0551,-0.0777,-0.1056,-0.1281,-0.1343
EulY_s405,0,0.0314,0.0544,0,0.0179,0.0903,0.2025,0.322,0.4077,0.4301,0.4301,0.4437,0.4931,0.5572,0.6155,0.6543,0.6642
EulZ_s405,0,-0.0476,-0.0009,-0,0.0093,0.0437,0.0892,0.1295,0.1548,0.1611,0.1611,0.1801,0.2502,0.3401,0.4146,0.4569,0.4667
Px_s405,-6.3367,-0.1147,-0.1161,0,0.0094,0.0461,0.0992,0.1509,0.1849,0.1933,0.1933,0.2017,0.2337,0.2783,0.3199,0.3467,0.3534
Py_s405,0.6062,-0.0893,0.2258,0,0,0.001,0.0046,0.0102,0.0151,0.0164,0.0164,0.0178,0.0249,0.0389,0.0562,0.0693,0.0728
Pz_s405,-7.4643,0.2624,0.1598,0,-0.0001,-0.0021,-0.0099,-0.0238,-0.0369,-0.0408,-0.0408,-0.0447,-0.0613,-0.0881,-0.1175,-0.139,-0.1446
EulX_s406,0,-0.0339,-0.0493,-0,0.0001,0.0009,0.0009,-0.005,-0.0138,-0.0168,-0.0168,-0.0223,-0.0455,-0.0832,-0.1241,-0.1534,-0.161
EulY_s406,0,-0.04,-0.0036,0,-0.004,-0.0143,-0.0149,-0.0007,0.0161,0.0212,0.0212,0.0303,0.0643,0.1094,0.1499,0.1754,0.1818
EulZ_s406,0,-0.0292,0.0339,-0,0.0321,0.1529,0.312,0.4443,0.516,0.5316,0.5316,0.555,0.6399,0.7451,0.8256,0.8656,0.8738
Px_s406,-4.0515,0.1078,-0.2231,0,0.0094,0.046,0.0983,0.1482,0.1808,0.1889,0.1889,0.197,0.2273,0.2685,0.3062,0.3302,0.3362
Py_s406,-7.0891,0.2545,0.1996,0,0.0002,0.0036,0.0161,0.0361,0.0531,0.0578,0.0578,0.0626,0.0833,0.1174,0.1548,0.1815,0.1885
Pz_s406,-5.4375,0.1167,-0.0191,0,0,0.0004,0.0012,0.0017,0.0013,0.001,0.001,0.0007,-0.0014,-0.0072,-0.016,-0.0238,-0.0259
EulX_s407,0,-0.051,0.0222,-0,-0.0001,-0.0023,-0.008,-0.0129,-0.0143,-0.0144,-0.0144,-0.0115,0.0008,0.0213,0.0445,0.0619,0.0665
EulY_s407,0,-0.0239,0.0547,0,-0.0125,-0.0554,-0.1007,-0.1258,-0.1316,-0.1317,-0.1317,-0.1216,-0.0802,-0.0139,0.0609,0.1175,0.1328
EulZ_s407,0,-0.0207,0.011,-0,-0.0187,-0.0847,-0.1642,-0.2285,-0.2666,-0.2758,-0.2758,-0.2803,-0.2937,-0.3018,-0.2992,-0.2928,-0.2908
Px_s407,5.5927,-0.1345,0.2349,0,0.0094,0.0461,0.0993,0.1517,0.1871,0.1961,0.1961,0.205,0.2401,0.2915,0.3429,0.3779,0.3868
Py_s407,-7.9604,0.1875,-0.162,0,-0.0001,-0.002,-0.0088,-0.0193,-0.0282,-0.0307,-0.0307,-0.0333,-0.0437,-0.0595,-0.0755,-0.086,-0.0886
Pz_s407,1.2611,0.1917,0.0926,0,0.0001,0.0013,0.0056,0.0118,0.0165,0.0177,0.0177,0.0189,0.0225,0.0248,0.0231,0.0194,0.0181
EulX_s408,0,-0.0482,0.0154,-0,0.0008,0.0178,0.0754,0.1562,0.2129,0.2264,0.2264,0.2431,0.3108,0.4125,0.5114,0.5744,0.5896
EulY_s408,0,-0.0228,-0.0458,0,-0.0352,-0.164,-0.3199,-0.4296,-0.4777,-0.4868,-0.4868,-0.4972,-0.5329,-0.5712,-0.5946,-0.6036,-0.6051
EulZ_s408,0,0.0275,0.0356,-0,0.0447,0.2191,0.476,0.7327,0.9013,0.9426,0.9426,0.9713,1.0801,1.2282,1.3601,1.4395,1.4583
Px_s408,-1.0395,-0.0661,-0.1873,0,0.0094,0.0456,0.0945,0.1356,0.1581,0.1632,0.1632,0.1679,0.1845,0.203,0.2152,0.2203,0.2212
Py_s408,-1.6531,0.0862,0.1883,0,0.0002,0.005,0.0227,0.0511,0.0754,0.0822,0.0822,0.089,0.1167,0.1587,0.2015,0.2307,0.2381
Pz_s408,-9.6137,0.2797,0.1395,0,0.0002,0.0039,0.0169,0.0366,0.0524,0.0566,0.0566,0.0609,0.0785,0.1066,0.1369,0.1587,0.1643
EulX_s409,0,0.0536,-0.0073,-0,-0.0001,-0.0019,-0.0068,-0.0125,-0.0162,-0.0171,-0.0171,-0.0173,-0.0183,-0.0203,-0.0219,-0.0216,-0.0212
EulY_s409,0,0.0256,0.0361,0,0.0156,0.0701,0.1332,0.1811,0.2078,0.2141,0.2141,0.2155,0.2238,0.2458,0.2817,0.3154,0.3253
EulZ_s409,0,0.0082,-0.0474,-0,0.0117,0.0534,0.1008,0.1304,0.1392,0.1398,0.1398,0.1345,0.1111,0.0688,0.0149,-0.0298,-0.0424
Px_s409,7.0527,-0.1846,0.18,0,0.0094,0.0461,0.0995,0.1523,0.188,0.1971,0.1971,0.2062,0.2418,0.294,0.3459,0.3811,0.39
Py_s409,-2.5078,0.1892,0.1812,0,0.0001,0.0013,0.0055,0.0117,0.0166,0.0178,0.0178,0.0191,0.0234,0.0281,0.0301,0.0296,0.0292
Pz_s409,-6.3409,-0.1419,0.1574,0,-0.0001,-0.0017,-0.0072,-0.0157,-0.0228,-0.0248,-0.0248,-0.0268,-0.0348,-0.0473,-0.0613,-0.0721,-0.0751
EulX_s410,0,-0.0235,-0.0449,-0,0.0001,0.0016,0.0063,0.0132,0.019,0.0206,0.0206,0.0204,0.0201,0.0212,0.024,0.027,0.0279
EulY_s410,0,0.054,0.0373,0,0.0139,0.0655,0.1346,0.2003,0.2456,0.2575,0.2575,0.2559,0.2536,0.2631,0.2891,0.3173,0.3259
EulZ_s410,0,-0.0113,0.0139,-0,-0.0106,-0.0471,-0.0876,-0.1161,-0.1307,-0.134,-0.134,-0.1317,-0.1224,-0.1093,-0.1008,-0.1001,-0.1008
Px_s410,-6.3478,0.2228,0.231,0,0.0094,0.0461,0.0995,0.1523,0.1879,0.1969,0.1969,0.2059,0.2412,0.293,0.3445,0.3794,0.3883
Py_s410,-6.9795,-0.156,0.0816,0,-0.0001,-0.0011,-0.0048,-0.0102,-0.0146,-0.0158,-0.0158,-0.017,-0.0215,-0.0274,-0.0327,-0.0361,-0.037
Pz_s410,-2.6887,-0.1266,0.1731,0,-0.0001,-0.0015,-0.0069,-0.0159,-0.0241,-0.0264,-0.0264,-0.0288,-0.0381,-0.0518,-0.0664,-0.0774,-0.0804
EulX_s411,0,0.0282,-0.0476,-0,0,0.0002,0.0009,0.0019,0.0027,0.0029,0.0029,0.0046,0.011,0.02,0.0284,0.0338,0.0351
EulY_s411,0,-0.049,0.0304,0,0.0067,0.0289,0.052,0.0675,0.0758,0.0779,0.0779,0.0918,0.1404,0.1964,0.2378,0.2597,0.2647
